"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"grow.eps.year[5]",-0.000621096871387013,0.0843918180289167,-0.176311445082122,-0.0525947667779804,-3.55695131562423e-05,0.0513916167790269,0.166659936469607,1.00141991663731,3200
"grow.eps.year[6]",-0.0429330197185516,0.0274756563324609,-0.097503925111645,-0.060402635313466,-0.0429305896291671,-0.0251604996147045,0.0111728070763131,1.00085202703036,7500
"grow.eps.year[7]",-0.115020241281592,0.0277517901660028,-0.171422525565674,-0.132872764201656,-0.1152488831063,-0.0971819368094251,-0.0609522703800116,1.00096782759919,7500
"grow.eps.year[8]",0.0943056045859662,0.0274503604347473,0.040143482502259,0.0769793392036714,0.0941225037644644,0.111642733358743,0.149748773798666,1.00099178307431,7500
"grow.eps.year[9]",0.0134585224955135,0.0271820560184189,-0.0399532834832261,-0.00357805424309682,0.0129100175822439,0.030334151092273,0.0671020197179571,1.00121377542783,4800
"grow.eps.year[10]",0.104973275153238,0.0270120273625804,0.0521059310926586,0.0878067295663741,0.104674831306198,0.121648494226452,0.158542195434898,1.00099228581057,7500
"grow.eps.year[11]",0.0739744927861266,0.0271581053624067,0.0200538739696466,0.0570317667782963,0.0733353788461396,0.090853364720765,0.128805015672146,1.00115319115835,5600
"grow.eps.year[12]",0.023694329537379,0.0267240643254551,-0.0298005602906867,0.00647732251684342,0.0232972280078778,0.0406960566394076,0.077640050054252,1.00105921065147,7500
"grow.eps.year[13]",-0.025010238591381,0.0270195696677531,-0.0779063947425083,-0.0420337518628856,-0.0254488986523883,-0.00802509743152671,0.0292171600776571,1.00138745465184,3400
"grow.fit",326.857667997058,0.429340985785413,326.157822841083,326.547025374262,326.808468418957,327.113072058224,327.82191156455,1.00098715219332,7500
"grow.fit.new",327.013537585185,9.24641268400551,309.194934866951,320.789007900951,326.845280361059,333.018605923185,345.69788891307,1.00138559501744,3400
"grow.mu",-0.0325828877073698,0.0258689827582595,-0.0842068485178471,-0.0486488314833834,-0.0320807382438647,-0.0164550989595165,0.0196060887593392,1.00096360780984,7500
"grow.sigma.eps",0.254981885508039,0.0025458320786158,0.25014665973102,0.25326010400252,0.254925443733654,0.256678451310513,0.260079882791549,1.0014890390972,2900
"grow.sigma.plot",0.0215527796154109,0.00821656005665507,0.00965771084735361,0.0159528759380638,0.0203345343216876,0.0255563819906699,0.0418006985975291,1.00129499475902,4000
"grow.sigma.year",0.0807944916529493,0.0212988042526502,0.050224376668778,0.065630808596602,0.0772097186220867,0.0918234887443812,0.131387596237896,1.00079938665539,7500
"mu_sdlgsize",-3.49043719005687,0.0621496971527734,-3.61538835321559,-3.52912509531904,-3.49018974641646,-3.45096883576688,-3.36531720861251,1.00122225008975,4700
"mu_spf",113.493512668605,9.98066738282272,93.5525657207036,106.991868261536,113.675441445774,120.164097221992,132.80893655064,1.00082914291719,7500
"precenus_surv",0.503784505321507,0.352110168861429,0.00152522704953927,0.156032926729474,0.506071517520632,0.853242520900294,0.998377356303396,1.0022158241672,4500
"seedsurv",0.032345283633483,0.0078061146665872,0.0185838763892873,0.0267935137220398,0.0317312483759355,0.0373175673557935,0.049114956920652,1.00090812255498,7500
"sigma_sdlgsize",0.227647267068055,0.0521808451480194,0.153627237026533,0.191762656705972,0.219535857329815,0.252995391422094,0.357223564805644,1.00097020658052,7500
"sigma_spf",91.7815809186889,7.60847705862939,78.4614843611416,86.5118623632525,91.2350770150938,96.4825819677586,108.017639833545,1.00149208856685,2900
"surv.bclim[1,1]",-0.10539398195484,0.35787859172906,-0.834402736069812,-0.310963877292723,-0.102937165682303,0.101899008608228,0.615941931416674,1.00080783538036,7500
"surv.bclim[2,1]",0.200256770116737,31.5036707026291,-61.0106221478652,-21.2845027687397,0.361987064909933,21.2952374448003,62.0234387315349,1.00080685525294,7500
"surv.bclim[3,1]",-0.129062467090867,31.7929961645173,-62.1822035682662,-21.0263313537415,-0.496119535640887,21.5663669218242,63.6126517695409,1.00083907743015,7500
"surv.bclim[1,2]",0.385526156091692,0.349394149203844,-0.289875565194353,0.176768883021497,0.371384591956406,0.586804112429788,1.11551713075529,1.00238670360241,1300
"surv.bclim[2,2]",0.0416304540633504,31.2365395880476,-61.3489867377285,-21.0872153723095,-0.393471240136299,21.2504014273175,61.8558673991415,1.00115858158841,5600
"surv.bclim[3,2]",-0.314362155748004,31.8087033765718,-63.7920284574416,-21.4161945449053,0.138777353740972,21.0900199281169,62.6013830534079,1.00093414593564,7500
"surv.bclim[1,3]",-0.279210199299926,0.273805016791293,-0.826365772971713,-0.437803417508716,-0.279233764439212,-0.121276078727678,0.262109528448723,1.00130158037635,7500
"surv.bclim[2,3]",-0.112646451329412,31.4372308354853,-60.1166932913418,-21.1383389180949,-0.267278065082585,20.9323662935556,61.736947086638,1.0010995155521,6600
"surv.bclim[3,3]",-0.255682306467472,31.6850323275992,-61.985750957785,-21.9491611542115,0.221718258523254,21.2480063309728,61.1827908981856,1.00120820065264,4900
"surv.bsize",1.31112351768579,0.0672754536403289,1.17932627226034,1.26531120811462,1.3106171975602,1.35652698848461,1.44572277286719,1.00081956058269,7500
"surv.eps.year[1]",0.461393775948064,0.840325708436866,-1.03375537252982,-0.0680605071681855,0.398489236936744,0.921125338473015,2.2981244467373,1.00453507587626,660
