"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"surv.bclim[3,3]",-0.0218683929000641,0.0365290665384258,-0.10923568240738,-0.0400216005892951,-0.0186372171328046,0.00109194593702013,0.0379930488373007,1.00227197837189,9000
"surv.bclim[4,3]",0.00963095704237511,0.0245142448004435,-0.0380589722942971,-0.0069863126195962,0.00982338404380565,0.026144452198018,0.0578053355779732,1.00096134875139,9000
"surv.bsize",1.36934674533368,0.14679413058723,1.0995125064159,1.27118269725121,1.36547675521009,1.46241131586659,1.66873192457572,1.00124956328653,4800
"surv.fit",454.939228584264,10.4310708446916,435.051517431888,447.957842480585,454.713942566479,461.769012364139,475.924916455852,1.00155717874357,2800
"surv.fit.new",443.370299258742,23.7915448198692,397.743273437739,427.210300906667,443.223018857902,459.054530882625,491.566952423482,1.00174773661246,2200
"surv.mu",3.9220482513336,0.561438707448014,2.92769460816919,3.58580372059993,3.88543471979477,4.20853651509179,5.20182053217785,1.00228692240482,1700
"surv.sigma.plot",0.199522197149966,0.134815207368855,0.01311540310973,0.0987284706361315,0.181191628276409,0.27183097794985,0.518857491994156,1.00269629109725,9000
"surv.sigma.year",0.882647334331856,0.295477662617469,0.472908750049181,0.677151288896233,0.829043597099267,1.02489462193772,1.61845032854099,1.00105435116064,9000
"surv.z[1,1]",0.153444444444444,0.360435405817894,0,0,0,0,1,1.00145983132721,3200
"surv.z[2,1]",0.0366666666666667,0.187952513549847,0,0,0,0,1,1.00087573210839,9000
"surv.z[3,1]",0.05,0.217957056238752,0,0,0,0,1,1.0023971831863,4100
"surv.z[4,1]",0.0143333333333333,0.118867400193488,0,0,0,0,0,1.00816809289919,4200
"surv.z[1,2]",0.202666666666667,0.402008514399281,0,0,0,0,1,1.00084954810885,9000
"surv.z[2,2]",0.0661111111111111,0.24849002577385,0,0,0,0,1,1.00115631465533,6200
"surv.z[3,2]",0.0373333333333333,0.189587840546945,0,0,0,0,1,1.00085022076931,9000
"surv.z[4,2]",0.0193333333333333,0.137701352233499,0,0,0,0,0,1.00250062287344,9000
"surv.z[1,3]",0.188222222222222,0.390911238454731,0,0,0,0,1,1.00141859400719,3400
"surv.z[2,3]",0.117777777777778,0.322362713806601,0,0,0,0,1,1.00136358232418,3800
"surv.z[3,3]",0.0567777777777778,0.231430362832825,0,0,0,0,1,1.00206575318432,4200
"surv.z[4,3]",0.0181111111111111,0.133360694677494,0,0,0,0,0,1.00178121499959,9000
"surv.zsize",1,0,1,1,1,1,1,1,1
